OBJECTID,gridcode,DNR12DIG,Shape_Leng,Shape_Area,Acres,Land_Use,pollution,total_N,total_P,total_S
96,9,21402050823,401713.712674,1341959.44017,331.605399377,9,50148.68454778371,3581.3383132716003,142.59032173211,46424.755912780005
97,9,21402050824,628135.943092,2037735.8831,503.535502723,9,76149.67407679929,5438.1834294084,216.52026617088998,70494.97038122
98,9,21402050825,581699.284358,2077199.74416,513.287235165,9,77624.42857400294,5543.502139782,220.71351112095,71860.2129231
99,9,21402050826,301102.757262,1148100.28228,283.701758215,9,42904.21689485444,3063.978988722,121.99175603244998,39718.2461501
100,10,21402050808,62105.7163508,314669.639915,77.7565614074,10,11759.124781641101,839.7708631999201,33.435321405182,10885.918597036
101,10,21402050811,43653.1369404,163083.693487,40.2988582903,10,6094.396339242068,435.22766953524,17.328509064829,5641.840160641999
102,10,21402050814,32813.9462012,185888.734215,45.9341065787,10,6946.614937896801,496.08835104996007,19.751665828841002,6430.774921018001
103,10,21402050815,119859.657091,645689.314273,159.553304313,10,24129.24621125499,1723.1756865804002,68.60792085459,22337.46260382
104,10,21402050816,134382.081801,625052.786701,154.453907295,10,23358.064400222847,1668.1021987860001,66.41518013685,21623.5470213
105,10,21402050818,125718.937194,539196.080846,133.238253243,10,20149.62103793889,1438.9731350244,57.29244889449,18653.355454020002
106,10,21402050821,24908.4711455,150928.029605,37.2951283296,10,5640.142257285407,402.78738595968,16.036905181728,5221.317966144
107,10,21402050822,319116.314272,1267175.36891,313.125852919,10,47354.022736940366,3381.7592115252005,134.64411675517,43837.61940866
108,10,21402050823,162421.227516,673601.715226,166.450608798,10,25172.325568521537,1797.6665750184,71.57376178314,23303.085231719997
109,10,21402050824,206201.555554,1334671.92617,329.80461545,10,49876.35199450349,3561.88984686,141.81598464349997,46172.646163
110,10,21402050825,109911.897745,556423.424115,137.495222473,10,20793.40249459179,1484.9484027084002,59.122945663390006,19249.33114622
111,10,21402050826,51243.8776327,228913.611066,56.5657851856,10,8554.443693618286,610.9104800044801,24.323287629808,7919.209925984
112,11,21402050808,75871.7389028,601955.963799,148.746558061,11,22494.941975565027,1606.4628270588,63.96101996623,20824.51812854
113,11,21402050811,43184.4257603,185899.668108,45.9368084025,11,6947.023534710074,496.11753074700005,19.752827613075,6431.15317635
114,11,21402050814,41091.6235139,206727.447715,51.0834648273,11,7725.352385832578,551.70142013484,21.965889875739,7151.685075822
115,11,21402050815,119856.423576,575911.412203,142.310809204,11,21521.66367592092,1536.9567394032001,61.19364795772,19923.51328856
116,11,21402050816,314641.393342,1135972.95158,280.705029535,11,42451.021616578044,3031.614318978,120.70316270005,39298.7041349
